data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
5661924,368,IRQ20807,20807,"21 July 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)",,6,,,0,60,"Middle East",Iraq,Babylon,Mahawil,,Mahawil,32.6614,44.4085,2,"National Iraqi News Agency",National,"On July 21, dozens of people from Mahawil district in northern Hilla protested in front of the Judicial Council building and cut off the road inside Mahawil in protest against the continued municipal dumping and dumping of waste in Al-Sayahiyat area, causing high pollution. [size=dozens]",0,1564425899,IRQ
5661928,368,IRQ20811,20811,"21 July 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)","Labour Group (Iraq)",6,,,0,60,"Middle East",Iraq,Baghdad,Mansour,,"Baghdad - Mansour",33.3158,44.3515,1,Yaqein,National,"On July 21, dozens of graduates of engineering protested outside the Engineers Union building in the Unions street in Mansour district of Baghdad demanding central appointment or the passing of a law that would give them justice. [size=dozens]",0,1564425899,IRQ
5612808,368,IRQ20792,20792,"20 July 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)",,6,,,0,60,"Middle East",Iraq,Basrah,Basrah,,Basrah,30.533,47.7975,1,"Al Mirbad",National,"On July 20, a number of residents in central Basrah protested in the HQ of the company leading the new sewage project demanding that the project is handed over. [size=not reported]",0,1563822380,IRQ
5612795,368,IRQ20779,20779,"19 July 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)","National Wisdom Movement",6,,,0,60,"Middle East",Iraq,Babylon,Hilla,,Hilla,32.4637,44.4196,1,"National Iraqi News Agency",National,"On July 19, dozens of supporters of the National Wisdom Movement in Hillah in Babylon province demonstrated in front of a provincial building in response to the appeal of Ammar al-Hakim and emphasis on the importance of having an opposition and demanded services in the field of health and education and infrastructure. [size=dozens]",0,1563822380,IRQ
5612796,368,IRQ20780,20780,"19 July 2019",2019,1,Riots,"Violent demonstration","Rioters (Iraq)","National Wisdom Movement",5,"Civilians (Iraq)","Journalists (Iraq)",7,57,"Middle East",Iraq,Basrah,Basrah,,Basrah,30.533,47.7975,1,"National Iraqi News Agency",National,"On July 19, in a demonstration in which dozens of the National Wisdom Movement demonstrators led by Ammar al-Hakim demanded better services and job opportunities in Basra city, a correspondent of Al-Sharqiya channel was attacked, and his camera and microphone were pulled from him. [size=dozens]",0,1563822380,IRQ
5612797,368,IRQ20781,20781,"19 July 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)","National Wisdom Movement",6,,,0,60,"Middle East",Iraq,Ninewa,Mosul,,"Mosul - Al-Zuhur",36.3723,43.1964,1,"National Iraqi News Agency",National,"On July 19, hundreds of members of the National Wisdom Movement protested near the fountain in Al-Zuhour area in Mosul city demanding the reconstruction of the city of Mosul and the dissolution of the Nineveh Provincial Council, and compensation as well as job opportunities. [size=hundreds]",0,1563822380,IRQ
5612800,368,IRQ20784,20784,"19 July 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)","National Wisdom Movement",6,,,0,60,"Middle East",Iraq,Qadissiya,Diwaniya,,Diwaniya,31.9929,44.9255,3,"Al Mirbad",National,"On July 19, hundreds of National Wisdom Movement supporters protested in Diwaniyah province demanding action be taken against administrative and financial corruption and better services. [size=hundreds]",0,1563822380,IRQ
5612801,368,IRQ20785,20785,"19 July 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)","National Wisdom Movement",6,,,0,60,"Middle East",Iraq,Najaf,Najaf,,Najaf,32.0259,44.3462,3,"Al Mirbad",National,"On July 19, hundreds of National Wisdom Movement supporters protested in Najaf province demanding action be taken against administrative and financial corruption and better services. [size=hundreds]",0,1563822380,IRQ
5612802,368,IRQ20786,20786,"19 July 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)","National Wisdom Movement",6,,,0,60,"Middle East",Iraq,Kerbala,Kerbala,,Kerbala,32.5979,44.0165,3,"Al Mirbad",National,"On July 19, hundreds of National Wisdom Movement supporters protested in Kerbala province demanding action be taken against administrative and financial corruption and better services. [size=hundreds]",0,1563822380,IRQ
5612803,368,IRQ20787,20787,"19 July 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)",,6,,,0,60,"Middle East",Iraq,Muthanna,Rumaitha,,Rumaitha,31.4978,45.2954,1,"Al Mirbad",National,"On July 19, thousands of residents of al Muthanna province in Rumaitha protested demanding better services and employment. [size=thousands]",0,1563822380,IRQ
5612804,368,IRQ20788,20788,"19 July 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)","National Wisdom Movement",6,,,0,60,"Middle East",Iraq,Thi-Qar,Nassriya,,Nassriya,31.058,46.2573,1,"Al Mirbad",National,"On July 19, a number of supporters of the National Wisdom Movement in Nassiryah demanded better services in the health and environmental sectors, and the anti-corruption efforts. [size=not reported]",0,1563822380,IRQ
5612806,368,IRQ20790,20790,"19 July 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)","National Wisdom Movement",6,,,0,60,"Middle East",Iraq,Diyala,Baquba,,Baquba,33.7466,44.6437,1,Rudaw,National,"On July 19, hundreds of supporters of the National Wisdom movement gathered in front of Diyala provincial council's building in Baquba city, calling for reforms. [size=hundreds]",0,1563822380,IRQ
5554373,368,IRQ20746,20746,"13 July 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)",,6,,,0,60,"Middle East",Iraq,Thi-Qar,Rifai,,Rifai,31.7213,46.1102,2,Yaqein,National,"On July 13, hundreds of Rifai residents protested north of Thi-Qar province demanding the dismissal of the governor of the district and employment opportunities, as well as better services. [size=hundreds]",0,1563229629,IRQ
5554369,368,IRQ20742,20742,"12 July 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)","Arab Ethnic Group (Iraq)",6,,,0,60,"Middle East",Iraq,Kirkuk,Kirkuk,,Kirkuk,35.4681,44.3922,1,"Al Mirbad",National,"On July 12, tens of residents of Kirkuk province (particularly Arabs), protested in Kirkuk city denouncing the Kurdish candidate for governor. [size=tens]",0,1563229629,IRQ
5918969,368,IRQ20731,20731,"11 July 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)","Labour Group (Iraq); Students (Iraq)",6,,,0,60,"Middle East",Iraq,Kerbala,Kerbala,,Kerbala,32.5979,44.0165,3,Yaqein,National,"On July 11, tens of graduates of colleges of administration and economy in Kerbala province protested against foreign workers and to demand their appointment and the elimination of unemployment among graduates. [size=tens]",0,1567465412,IRQ
5554360,368,IRQ20733,20733,"11 July 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)",,6,,,0,60,"Middle East",Iraq,Basrah,Al-Zubair,,Al-Zubair,30.3921,47.7017,1,"Al Mirbad",National,"On July 11, tens of residents of Zubair west of Basrah, protested, demanding the turning of their city into a province, stressing the relay of their request to the federal government and the House of Representatives, indicating that their city suffers from lack of services and deterioration of the economic situation due to unemployment, despite the wealth of natural resources in the district. [size=tens]",0,1563229629,IRQ
